Date,Close,MA(10C)s,MA(10C)w,%K(141),%D(3),RSI(14C),MACDHist(12269C),MACD(12269C),MACDSig(12269C),AccDist,CCI(20C),ATR(14)
01/25/21,8846.95,8883.675,8874.028,63.328,66.89,56.396,-10.223,56.437,66.66,1.02E+11,32.552,58.476
01/24/21,8829.52,8885.927,8881.115,60.987,71.868,54.828,-5.366,61.04,66.406,1.02E+11,23.421,59.652
01/21/21,8876.49,8884.68,8891.144,76.354,79.84,60.249,3.11,67.802,64.692,1.02E+11,60.679,59.128
01/20/21,8878.3,8870.751,8890.101,78.262,87.722,60.463,9.554,70.665,61.11,1.02E+11,68.716,61.109
01/19/21,8901.87,8850.001,8884.955,84.904,90.783,63.175,16.783,73.106,56.323,1.02E+11,95.02,62.88
01/18/21,8931.29,8828.025,8871.529,100,94.156,66.64,21.769,72.758,50.989,1.03E+11,133.012,63.596
01/17/21,8874.9,8801.662,8847.96,87.444,94.156,63.031,22.207,68.261,46.054,1.02E+11,107.781,62.534
01/14/21,8898.68,8775.454,8829.879,95.024,98.341,65.819,25.365,67.27,41.904,1.02E+11,146.356,64.666
01/13/21,8914.29,8754.539,8803.672,100,100,67.643,24.262,62.605,38.342,1.02E+11,191.536,66.497
01/12/2021,8884.46,8739.118,8771.822,100,97.432,65.97,17.678,54.15,36.472,1.02E+11,206.787,69.044
01/11/2021,8869.47,8725.348,8742.893,100,94.854,65.128,9.511,45.609,36.097,1.02E+11,228.889,72.039
01/10/2021,8817.05,8709.939,8713.887,92.298,84.654,62.084,-0.931,35.57,36.501,1.02E+11,195.576,72.564
01/07/2021,8737.2,8702.3,8693.024,92.264,77.968,56.743,-10.297,27.576,37.874,1.02E+11,89.353,70.144
01/06/2021,8670.8,8698.848,8686.05,69.4,69.696,51.463,-15.122,25.103,40.225,1.01E+11,-21.78,69.571
01/05/2021,8682.11,8703.835,8692.057,72.24,62.981,52.476,-14.261,28.341,42.602,1.01E+11,-0.29,72.772
01/04/2021,8667.66,8703.669,8695.977,67.447,63.802,51.34,-13.745,30.911,44.656,1.01E+11,-18.099,73.557
01/03/2021,8612.82,8690.771,8700.179,49.257,74.02,46.862,-10.979,35.212,46.192,1.01E+11,-100.014,74.758
12/31/20,8689.53,8698.178,8715.698,74.701,88.829,53.224,-1.56,45.774,47.335,1.01E+11,20.999,72.987
12/30/20,8760.08,8700.383,8717.671,98.102,91.687,60.203,1.833,50.778,48.944,1.01E+11,129.611,73.174
12/29/20,8746.76,8696.493,8706.11,93.684,89.54,59.267,-1.073,49.244,50.317,1.01E+11,122.68,75.579
12/28/20,8715.38,8687.754,8695.382,83.275,84.666,57.056,-3.96,47.925,51.885,1.01E+11,75.6,77.2
12/27/20,8740.66,8682.247,8689.358,91.661,85.251,59.471,-4.681,48.74,53.421,1.01E+11,111.298,79.991
12/24/20,8702.68,8672.628,8676.988,79.063,78.594,56.928,-8.742,46.497,55.239,1.01E+11,54.379,82.353
